food_group,food_item,calorie,protein,total_fat,saturated_fat,mono_unsaturated_fat,poly_unsaturated_fat,cholesterol,carbohydrate,fiber,calcium,iron,potassium,sodium,vitamin_a,thiamin,riboflavin,niacin,ascorbic_acid
starchy_staples,bread,2.68,0.08,0.04,0.004,0.008,0.02,0,0.48,0.024,1.08,0.032,1.2,5.4,0,0.0048,0.0036,0.04,0
starchy_staples,potato,1.0891,0.0248,0,0.0005,0,0.0005,0,0.2525,0.0238,0.099,0.0134,4.1782,0.0792,0,0.0011,0.0003,0.0163,0.1287
starchy_staples,rice,1.2975,0.0253,0,0.0006,0.0006,0.0006,0,0.2848,0.0038,0.1013,0.012,0.3481,0.0127,0,0.0016,0.0001,0.0146,0
starchy_staples,spaghetti,1.4071,0.05,0.0071,0.0007,0.0007,0.0029,0,0.2857,0.0171,0.0714,0.0143,0.3071,0.0071,0,0.0021,0.001,0.0164,0
starchy_staples,whole_bread,2.4643,0.1071,0.0357,0.0107,0.0179,0.0107,0,0.4643,0.0679,0.7143,0.0321,2.5357,5.2857,0,0.0036,0.0021,0.0393,0
fruits,apple,0.587,0,0,0.0007,0,0.0007,0,0.1522,0.0268,0.0725,0.0014,1.1522,0,0.0507,0.0001,0.0001,0.0007,0.058
fruits,banana,0.92,0.0133,0.0067,0.002,0.0007,0.0007,0,0.2333,0.024,0.06,0.0033,3.96,0.0133,0.08,0.0005,0.001,0.0053,0.0933
fruits,citrus,0.4405,0.0119,0,0,0,0,0,0.1071,0.0226,0.1429,0.0226,1.5714,0.0119,0.9167,0.0011,0.0002,0.0012,0.3095
fruits,coconut,3.5333,0.0222,0.3333,0.2978,0.0133,0.0044,0,0.1556,0.0911,0.1333,0.0244,35.5556,0.2,0,0.0007,0.0002,0.0044,0.0222
fruits,date,2.7619,0.0238,0,0.0024,0.0024,0,0,0.7381,0.0762,0.3095,0.0119,6.5238,0.0238,0.0476,0.001,0.001,0.0214,0
fruits,fig,2.5526,0.0263,0,0.0026,0.0026,0.0053,0,0.6579,0.1211,1.4474,0.0211,7.1316,0.1053,0.1316,0.0008,0.0008,0.0079,0
fruits,grape,0.72,0,0,0.002,0,0.002,0,0.18,0.01,0.12,0.002,1.86,0.02,0.08,0.001,0.0006,0.004,0.1
fruits,kiwi,0.6053,0.0132,0,0,0,0.0026,0,0.1447,0.0342,0.2632,0.0039,3.3158,0.0526,0.1842,0.0003,0.0005,0.0053,0.9737
fruits,mango,0.6485,0.0061,0,0.0006,0.0012,0.0006,0,0.1697,0.0182,0.103,0.0012,1.5576,0.0182,3.8909,0.0006,0.0005,0.0061,0.2788
fruits,melon,0.3529,0.0059,0,0,0,0.0006,0,0.0941,0.0059,0.0588,0.0006,2.7118,0.1,0.0412,0.0008,0.0002,0.0059,0.2471
fruits,peach,0.4286,0.0102,0,0,0,0,0,0.1122,0.0204,0.051,0.001,1.9694,0,0.5408,0.0002,0.0004,0.0102,0.0612
fruits,pear,0.5904,0.006,0.006,0,0.0006,0.0012,0,0.1506,0.0241,0.1084,0.0024,1.253,0,0.0181,0.0002,0.0004,0.0012,0.0422
fruits,raisins,3,0.0345,0.0069,0.0014,0,0.0014,0,0.7931,0.04,0.4897,0.0207,7.5103,0.1172,0.0069,0.0016,0.0009,0.0083,0.0345
fruits,strawberry,0.2778,0,0,0,0,0,0,0.0556,0.0222,0.1667,0.0056,1.6667,0,0.0556,0,0.0006,0,0.5556
fruits,watermelon,0.3217,0.007,0.0035,0.0003,0.001,0.0014,0,0.0734,0.0049,0.0804,0.0017,1.1608,0.021,0.3706,0.0008,0.0002,0.0021,0.0944
fruits,lemon_juice,0.2553,0,0,0,0,0,0,0.0851,0.0043,0.0638,0,1.234,0,0.0213,0.0002,0,0,0.4681
vegetables,broccoli,0.2841,0.0341,0,0,0,0.0011,0,0.0568,0.0295,0.4773,0.0091,3.25,0.2727,1.5455,0.0068,0.0011,0.0068,0.9318
vegetables,cabbage,0.2769,0.0154,0.0077,0.0008,0,0.0023,0,0.0538,0.02,0.7231,0.0092,2.2769,0.2308,7.4,0.0005,0.0007,0.0054,0.4077
vegetables,carrot,0.4306,0.0139,0,0,0,0.0014,0,0.0972,0.0306,0.2639,0.0056,3.2361,0.3472,28.125,0.001,0.0006,0.0097,0.0972
vegetables,celery,0.15,0,0,0,0,0,0,0.025,0.0175,0.4,0.005,2.875,0.875,0.125,0.0005,0.0005,0.0025,0.075
vegetables,cucumber,0.1176,0.0084,0,0,0,0.0008,0,0.0252,0.0067,0.1429,0.0017,1.479,0.0168,0.0672,0.0002,0.0001,0.0008,0.0252
vegetables,eggplant,0.2828,0.0101,0,0,0,0.001,0,0.0707,0.0253,0.0606,0.003,2.4848,0.0303,0.0606,0.0008,0.0002,0.0061,0.0101
vegetables,garlic,1.3333,0,0,0,0,0,0,0.3333,0.0333,1.6667,0.0333,4,0.3333,0,0.0033,0,0,0.3333
vegetables,hot_pepper,0.4,0.0222,0,0,0,0,0,0.0889,0.0156,0.1778,0.0111,3.4,0.0667,0.7778,0.0009,0.0009,0.0089,2.4222
vegetables,lettuce,0.125,0,0,0,0,0,0,0,0.0125,0.25,0,1.625,0.125,0.375,0,0,0,0
vegetables,mushroom,0.2692,0.0192,0.0064,0.0006,0,0.0019,0,0.0513,0.0218,0.0577,0.0173,3.5577,0.0192,0,0.0007,0.003,0.0449,0.0385
vegetables,onion,0.3813,0.0125,0,0,0,0.0006,0,0.0875,0.0181,0.2,0.0025,1.5688,0.0313,0,0.0004,0.0002,0.0013,0.0625
vegetables,parsley,0.4,0,0,0,0,0,0,0.1,0.03,1.4,0.06,5.5,0.6,5.2,0.001,0.001,0.01,1.3
vegetables,radish,0.2,0,0,0,0,0,0,0,0.02,0.2,0,2,0.2,0,0,0,0,0.2
vegetables,shallot,0.7,0,0,0,0,0,0,0.2,0.02,0.4,0.01,3.3,0.1,1.2,0.001,0,0,0.1
vegetables,spinach,0.2333,0.0333,0,0,0,0,0,0.0333,0.0267,1,0.0267,5.5667,0.8,6.7333,0.0007,0.002,0.0067,0.2667
vegetables,tomato,0.3484,0.0082,0.0082,0.0016,0.0016,0.0041,0,0.0697,0.002,0.0492,0.0074,1.082,2.8484,0.2787,0.0004,0.0002,0.0057,0.2705
